Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Outward issue link (Duplicate),Inward issue link (Gantt End to Start),Outward issue link (Gantt End to Start),Inward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Inward issue link (Open Question),Inward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (AbbVie Brands),Custom field (AbbviePONumber),Custom field (Acceptance Criteria),Custom field (Action Required to Verify/Test Change),Custom field (Application ID),Custom field (Application Name - Scripted),Custom field (Approval Status),Custom field (As a ...),Custom field (Assigned Sub-Tasks),Custom field (BAP Number - Scripted),Custom field (BTO),Custom field (BTO - Scripted),Custom field (Begin Date),Custom field (Brand(s)),Custom field (Business Rank),Custom field (Change Number - Scripted),Custom field (Correction Required),Custom field (Current Status),Custom field (Defect ID),Custom field (Defect Type),Custom field (Demand Criticality),Custom field (Demand ID),Custom field (Desired/Proper Operation),Custom field (Detection),Custom field (Due Date),Custom field (ESS Deliverable),Custom field (End Date),Custom field (Environment),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Estimate (in days)),Custom field (Estimate Hours),Custom field (Estimated Date of Fix),Custom field (External Issue ID),Custom field (Final Resolution),Custom field (Flagged),Custom field (Funding Source),Custom field (Generic failure),Custom field (I Want to ...),Custom field (Non-JIRA Assignee),Custom field (Object ID),Custom field (Occurrence),Custom field (Original story points),Custom field (Parent Link),Custom field (Pending Tasks),Custom field (Percentage Completed),Custom field (Persona),Custom field (Phase),Custom field (Potential cause(s) / mechanisms of failure),Custom field (Potential failure mode),Custom field (Potential results),Custom field (Privacy Review),Custom field (Process Function),Custom field (Product),Custom field (Product Impact),Custom field (Quality Critical),Custom field (Quality Designation),Custom field (RAG Status),Custom field (RPA Discovery Status),Custom field (Rank),Custom field (Reason),Custom field (Recommended Action(s)),Custom field (Reference ID),Custom field (Requirement Criticality),Custom field (Requirement Type),Custom field (Retirement Reason),Custom field (Revision Number),Custom field (Revision Reason),Custom field (Root Cause),Custom field (SDS/SQA - Scripted),Custom field (SLC Methodology - Scripted),Custom field (SO),Custom field (SOD),Custom field (Score),Custom field (Screen ID(s)),Custom field (Severity),Custom field (Signatures),Custom field (So That ...),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Story),Custom field (Story Point Estimation),Custom field (Story Points),Custom field (Story Post-Approval),Custom field (Story Post-Approver),Custom field (Story Pre-Approval),Custom field (Story Pre-Approver),Custom field (Story status),Custom field (System Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Case Traceability),Custom field (Testing Impact),Custom field (VERA Sync ID),Custom field (gitBranch),Custom field (gitCommitsReferenced),Custom field (qTest Defect Code),Custom field (test),Custom field (zephyr-je-customfield-teststep),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Developer Unit Test,ISAAP-556,623920,623919,Sub-task,Open,ISAAP,ISA Authoring Platform,software,MCFADMX,,,Medium,,,TEDESSX,TEDESSX,09/Jan/25 3:19 PM,09/Jan/25 3:23 PM,08/Feb/25 7:36 AM,,,,,,,0,,,,,Please attach screen shot(s) showing successful unit tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,"
<table cellpadding=""4"">
<tr><td><strong>As a</strong></td><td>null</td></tr>
<tr><td><strong>I want to</strong></td><td>null</td></tr>
<tr><td><strong>So that</strong></td><td>null</td></tr>
</table>
",,,,,,,"0|i2nkp0:",,,,,Functional,,,,,,,,,,,,,,IAE Issues,,,,,,,,,,,,,,,,,,,,,,No Team,,,,,,,,,"09/Jan/25 3:19 PM;TEDESSX;Jira Automation - Update New ADMPT Template Ticket: 
Made the following updates:
# Removed DSS-Template label
# Set the Reporter to the user triggering the automation, Tedeschi, Steven
# Removed J Bukala, R Segrud, and S Tedeschi as Watchers
# Removed ""CLONE -"" from the summary
# Set the Assignee
## Subtask: Unassigned
## Other ticket types: User triggering the automation, Tedeschi, Steven
# Epic Name is set to the Summary on Epics;;;",,,,,,,,,,,,
Foundational Setup,ISAAP-163,506871,,Epic,Open,ISAAP,ISA Authoring Platform,software,MCFADMX,,,Medium,,,SINGHSV,SINGHSV,13/Jun/24 8:58 AM,09/Jan/25 9:44 AM,08/Feb/25 7:36 AM,,,,,,,0,,,,,,,MURPHPX6,SINGHSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-6,,Foundational Setup,To Do,,,,,,,,,,None,,,,,,,,,,,,,N/A,,,,,,,"0|i25860:",,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Team,,,,,,,,,,,,,,,,,,,,,
Standardize Formulary V2,ISAAP-524,615284,,Task,Open,ISAAP,ISA Authoring Platform,software,MCFADMX,,,Medium,,MURPHPX6,MURPHPX6,MURPHPX6,17/Dec/24 2:13 PM,17/Dec/24 2:13 PM,08/Feb/25 7:36 AM,,,,,,,0,No-QA,NOVA:Dialog-Standardization,,,"h1. {color:#172b4d}Description{color}

Goal is to standardize formulary
h1. References
||Name||Link||
|Initiative|[ _{color:#ff8b00}insert Initiative Link{color}_ ]|
|Epic|[ ISAAP-262 ]|
h1. Acceptance Criteria
 * *General*
 ** Component Name: Should not have IVA prefix
 ** RTE fields should show utility icons always and should not only display when users cursor is focused on field  
 ** Component Policy Dialog Title should match component name
 ** Tab Names should be Title Case
 ** Advanced Tab: First 2 fields should be in this order
 *** ""ID""
 **** Tooltip: ""Add an html ID attribute to the component""
 *** ""Custom Class""
 **** Tooltip: ""Add an html class attribute to the component""
 ** Field Titles should be Title Case. ex. ""Custom Class"" not ""Custom class Name""
 * Tabs [Overview, Styles, Analytics, Advanced]

================================
 * *Overview*
 ** Move Zip Code to Advanced
 ** Change all of the references from XXXX_XXXX to Xxx Xxxx (ex. PLAN_NAME to Plan Name)
 * *Labels - Move to Advanced*
 ** Fix the County Labels that are currently spelled ""Count""
 * *Style* 

 ** {color:#4c9aff}_Style Template_{color}
 * *Analytics : No Change*
 * *{color:#172b4d}Advanced{color}*
 ** ID : ""Add an html ID attribute to the component""
 ** Custom Class : ""Add an html class attribute to the component""

h1. Tech Design

{color:#de350b}<To be completed by development team. Not a dependency on DOR>{color}
h1. Component Documentation
 *  ",,MURPHPX6,,,,,,,,,,,,,,,,,,,,,,,,,,ISAAP-386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[role],,,,,,,,,,,,,,,,,,,,,,ISAAP-262,,,,,,,,,,,[feature],None,,,,,,,,,,,,,N/A,,,,Non-GxP,,,"0|i2m93w:",,,,,Functional,,,,,,,,,,,,,[demonstrable business value],,,,,,,,,,,,,,,,,,,,,,,No Team,,,,,,,,,,,,,,,,,,,,,
NOVA Dialog Standardization,ISAAP-262,557722,,Epic,Open,ISAAP,ISA Authoring Platform,software,MCFADMX,,,Medium,,MURPHPX6,MURPHPX6,MURPHPX6,11/Sep/24 7:27 PM,17/Dec/24 2:13 PM,08/Feb/25 7:36 AM,,,,,,,0,,,,,"h1. Overview

[ _{color:#ff8b00}{*}TO DO{*}:{color}_ ]

_Insert Overview: Be sure to identify_
 # _Component Updates:_ _Provide a short description of the ask of the AEM component, including if this entirely new functionality or enhancement to existing component._
 # _Form Updates_
 ## _Summarize the functionality being requesting, including_
 ## _Identify the form types (e.g. Find a Provider, Doctor Discussion Guide, Registration)_
 ## _Audience (patient v prospect)_

h1. References
[ _{color:#ff8b00}{*}TO DO{*}:{color}_ ] _Update References table._
||Name||Link||
|Initiative|{{triggerissue.key}}|
|Tickets in Epic|[ _{color:#ff8b00}*TO DO:*{color} insert link from Jira Automation comment_ ]|
|Open Tickets in Epic|[ _{color:#ff8b00}*TO DO:*{color} insert link from Jira Automation comment_ ]|
|ADMP Sprint Calendar|[link|https://app.smartsheet.com/reports/8X6GJVX5HWmx4x9wq6PgwQWx6GfqmGpg3hjvRVR1?view=grid]|
h1. LOE

[ _{color:#ff8b00}*TO DO:*{color} Add label identifying the rough estimate (a.k.a., t-shirt size) of the work necessary to meet the Definition of Done (see sizing below)._
_See [ADMP A la carte Estimation Menu|https://app.smartsheet.com/b/publish?EQBCT=a9ad08acdd5a447db4baab78d5bfd345] for sizing._ ]
||Size||#Sprints||#Weeks||Label||Cost *^*||
|XS|1 sprint|3 days|t-shirt-size:xs|$0|
|S|1 sprint|1 week|t-shirt-size:s|$0|
|M|1 sprint|2 weeks|t-shirt-size:m|$0|
|L|2 sprints|4 weeks|t-shirt-size:l|$0|
|XL|3+ sprints|6+ weeks|t-shirt-size:xl|$0|

*^* There is no cost when using AEM team within capacity constraints.",,MURPHPX6,,,,,,,,,,,,,,,,,,,,,,,,ISAAP-263,,ISAAP-261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-9,,NOVA Dialog Standardization,To Do,,,,,,,,,,None,,,,,,,,,,,,,N/A,,,,,,,"0|i2d9qk:",,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/Jan/25 12:00 AM,01/Sep/24 12:00 AM,,No Team,,,,,,,,,"10/Oct/24 10:29 AM;TEDESSX;Jira Automation - Update Epic Name:
Set Epic Name to updated Epic Summary;;;",,,,,,,,,,,,
AEM page delete Issue,ISAAP-523,615356,,Bug,Open,ISAAP,ISA Authoring Platform,software,MCFADMX,,,Medium,,,NAGUBNX1,NAGUBNX1,17/Dec/24 11:11 AM,17/Dec/24 11:14 AM,08/Feb/25 7:36 AM,,,,,,,0,,,,,"Pages deleted by Author without replication access will not be deleted properly from Content repo. 

This is a known issue with AEM which doesn't show pages in UI but content is still in Repository. Since ISA workflow runs on binder which grabs all child pages and pushed to vault. As the external ID was same for all these hidden pages the page that matches(Ex:Dosing) with external ID will be versioned multiple times.

Mean while authors should not delete any pages, and can request OPS(MSP-AEMSupport <MSP-AEMSupport@abbvie.com>) to delete any pages.

Below are approaches we could do to fix the issue :

*Approach 1* - NOVA authoring group should be provided with Replicate access, as there is no live website for this, replicating a page to publish will not have any risk. Additionally we should put a deny rule in dispatcher to not access '/content/nova' node .

*Approach 2* - Create a backend service to delete page when Deleted property is added

*Approach 3* - Create a Day care ticket.

 

 ",,NAGUBNX1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,N/A,,,,,,,"0|i1mww5:zt104300w033i",,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Team,,,,,,,,,,,,,,,,,,,,,
Omnichannel Component Enhancement & Build to support IAE ISA Authoring,ISAAP-103,487409,,Epic,Open,ISAAP,ISA Authoring Platform,software,MCFADMX,,,Medium,,,SINGHSV,SINGHSV,07/May/24 2:16 PM,12/Dec/24 2:43 PM,08/Feb/25 7:36 AM,,,,,,,0,,,,,,,MURPHPX6,SINGHSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-7,,IAE Components Readiness,To Do,,,,,,,,,,None,,,,,,,,,,,,,N/A,,,,,,,"0|i2281s:",,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Team,,,,,,,,,,,,,,,,,,,,,
"Safety Bar | Experience Fragment Component",ISAAP-143,501343,,Story,Ready For Release,ISAAP,ISA Authoring Platform,software,MCFADMX,,,Medium,,,LUDOLJX1,SINGHSV,03/Jun/24 4:57 PM,12/Nov/24 3:01 PM,08/Feb/25 7:36 AM,,,ISA 1.6,Safety Bar,,,0,DOR,t-shirt-size:l,,,"h1. +QA is not part of S9 scope & will be handled in next Sprint worth 5 points+
h2. OOTB Features of Safety Bar Component
 * supports two brand and displays that in Tabs
 * Only present at the bottom
 * Supports Experience Fragments

h2. Safety Bar Authoring Guidelines
 * Experience Fragments Authoring:
 ** Brand ISI Experience Fragment with following Variations:
 *** Full ISI Text
 *** Safety Bar Expanded Text
 *** Safety Bar Collapsed Text
 ** Indication ISI Experience Fragment with following Variations:
 *** Indication 1 ISI Text
 *** Indication 2 ISI Text
 *** & so on
 * {color:#de350b}*Dev team will provide a example / structure that can be packaged & moved to Production for Authoring references*{color}

h2. Safety Bar Component Technical Specifications

*Dialog Requirements*
 * Select number of Brands
 * Per Brand Provide Safety Bar Title
 * Per Brand Provide Indication Section Title
 * Per Brand Select the following XF
 ** SB Expanded ISI
 ** SB Collapsed ISI Text
 ** Indication ISI Multi-Field
 *** Indication 1 ISI text
 *** Indication 2 ISI text
 * Configure the direction of Expansion (up vs down)

*Other Requirements*
 * Scroll should be enabled on Expanded SafetyBar (with max height) (not on collapsed)
 * No max height for collapsed version.
 * Scroll on expansion should come up automatically based on Expanded Safety Text. Can be overridden by Brand Template styles
 * All products in SB expand/collapse all at once.

*Assumptions:*
 * Help Text will move over to Top nav bar - not on safety bar.
 * Multi Brand Styles Should be rendered on slide or Ef.
 * For multi-brand safety bar, Indications specific text will only be displayed in a single column layout

!image-2024-07-09-22-58-07-903.png!",,MEJIAMX4,MURPHPX6,NADAKMX,SINGHSV,,,,,,,,,,,,,ISAAP-239,,,MCS-3415,MCS-3416,,,,,,ISAAP-142,,,,,,,,,,,ISAAP-118,,,,,,,,,,"03/Jun/24 4:57 PM;SINGHSV;3Safety.png;https://btsjira.abbvie.com/secure/attachment/357747/3Safety.png","09/Jul/24 10:58 PM;SINGHSV;image-2024-07-09-22-58-07-903.png;https://btsjira.abbvie.com/secure/attachment/370204/image-2024-07-09-22-58-07-903.png","03/Jun/24 4:57 PM;SINGHSV;IMG_0015.PNG;https://btsjira.abbvie.com/secure/attachment/357748/IMG_0015.PNG","03/Jun/24 4:57 PM;SINGHSV;IMG_0017.PNG;https://btsjira.abbvie.com/secure/attachment/357749/IMG_0017.PNG","09/Jul/24 10:58 PM;SINGHSV;screenshot-1.png;https://btsjira.abbvie.com/secure/attachment/370205/screenshot-1.png","09/Jul/24 10:59 PM;SINGHSV;screenshot-2.png;https://btsjira.abbvie.com/secure/attachment/370206/screenshot-2.png","09/Jul/24 10:59 PM;SINGHSV;screenshot-3.png;https://btsjira.abbvie.com/secure/attachment/370207/screenshot-3.png",,,,,,,,,,"* Allows for abbreviated safety text to be shown on slide
 ** Text can be different for different slides
 * Safety bar can be placed top of screen or bottom of the screen.
 * Safety bar should support expanding downward or upward (authorable)
 * Safety bar should support multiple brand's safety information (authorable)
 ** Must support flat display without tabs
 ** Max supported brands are 3
 ** All Brands must expand & Collapse simultaneously i.e. individual Brands can not be expanded & collapsed independent of each other
 * On expansion it pulls configured Containers from Full Safety Experience Fragment to be shown on slide according to the indications/franchise
 * Safety bar should support being added within a Modal
 * Expanded & Collapsed Text can be authored separately in the Safety Bar component
 * Height of Collapsed Safety Bar component will depend upon how much Text is authored for Collapsed Safety Bar
 * Expanded Safety Bar will render a scroll bar if the authored Expanded text is more than a certain limit (limit will be defined by Dev team)
 * Safety Bar must allow for Indication specific Safety text to be authored separately
 * Indication specific Safety will only appear in the Expanded State of the Safety Bar
 * Indication specific Safety can be added for any number of Indications",,,,,author,,,,,,,,,,,,,,,,,,,,,,ISAAP-103,,,,,,,,Impediment,,,be able to configure safety information in a collapsable bar that shows a snippet,None,,,,,,,,,,,,,N/A,,,,Non-GxP,,,"0|i1mww5:zt105f",,,,,Functional,,,,,,,,,,,,,when clicked a user is able to see all of the safety information configured,NOVA - S9,,,,,,,,,,,,13.0,2024/07/23 23:20,"Krovvidi, Chinmay",,,,,,,,No Team,,,,,,,,,"28/Jun/24 12:59 PM;SINGHSV;[~SINGHSV]  to create separate task to enhance Experience Fragment (Modal) component to show the SB authored on the slide on top of the modal as well.;;;","15/Jul/24 1:37 PM;MEJIAMX4;7/15: [~NADAKMX] started working on the safety bar.;;;","16/Jul/24 12:18 PM;MEJIAMX4;7/16: [~NADAKMX] finished the dialog creation and started the HTML part. ;;;","17/Jul/24 2:28 PM;MEJIAMX4;7/17: [~NADAKMX] working on the Java Script modals. ;;;","18/Jul/24 11:48 AM;MEJIAMX4;7/18: [~NADAKMX] working on the HTML part.;;;","19/Jul/24 12:18 PM;MEJIAMX4;7/19: [~NADAKMX] making progress, working on Java Script. ;;;","22/Jul/24 12:07 PM;MEJIAMX4;7/22: [~NADAKMX] continues working on this ticket.;;;","23/Jul/24 11:13 AM;SINGHSV;[~NADAKMX] have you reviewed the CSS tokens with Jake for this component. There is a subtask associated for that?;;;","23/Jul/24 2:10 PM;MEJIAMX4;7/23: [~NADAKMX] will create the PR today. ;;;","23/Jul/24 8:04 PM;NADAKMX;[~SINGHSV]  yes, Jake reviewed and he is ok with the approach. ;;;","23/Jul/24 8:04 PM;NADAKMX;PR: https://bitbucket.org/abbvieadmp/admp-isa/pull-requests/91;;;","24/Jul/24 10:59 AM;NADAKMX;test page on dev: https://admp-dev-auth.abbvie.com/content/nova/isa/iae-presentation-page/test.html?wcmmode=disabled;;;","12/Nov/24 2:13 PM;TEDESSX;Collapse functionality blocking Dosing (MCS-3416) and Safety (MCS-3415);;;"
IAE Style Guides,ISAAP-379,575717,,Task,Open,ISAAP,ISA Authoring Platform,software,MCFADMX,,,Medium,,TOLBEVX,MURPHPX6,MURPHPX6,10/Oct/24 3:53 PM,12/Nov/24 2:08 PM,08/Feb/25 7:36 AM,,,,,,,0,IAE-Templates,,,,IAE Style Guides,,MURPHPX6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISAAP-103,,,,,,,,,,,,None,,,,,,,,,,,,,N/A,,,,,,,"0|i2fiay:",,,,,Functional,,,,,,,,,,,,,,NOVA - S15,NOVA - S16,,,,,,,,,,,3.0,,,,,,,,,,No Team,,,,,,,,,"29/Oct/24 12:00 PM;MURPHPX6;Un pointed in S15/16 - pointing 3 for S17;;;","12/Nov/24 2:08 PM;MURPHPX6;Pausing

 ;;;",,,,,,,,,,,
Image selection not populating,ISAAP-455,591859,,Bug,Open,ISAAP,ISA Authoring Platform,software,MCFADMX,,,Medium,,,TOLBEVX,TOLBEVX,06/Nov/24 11:41 AM,06/Nov/24 11:57 AM,08/Feb/25 7:36 AM,,,,,,,0,,,,,,,TOLBEVX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,N/A,,,,,,,"0|i1mww5:zt104300w034",,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Team,,,,,,,,,,,,,,,,,,,,,
DS Component Integration - Veeva IVA Reference,ISAAP-441,579675,,Story,Open,ISAAP,ISA Authoring Platform,software,MCFADMX,,,Medium,,,MURPHPX6,MURPHPX6,17/Oct/24 1:09 PM,05/Nov/24 4:40 PM,08/Feb/25 7:36 AM,,,,,,,0,DS-Component-Integration,,,,"h1. {color:#172b4d}Description{color}

 
h1. References
||Name||Link||
|Initiative|[ _{color:#ff8b00}insert Initiative Link{color}_ ]|
|Epic|[ ISAAP-400 ]|
h1. Acceptance Criteria
 * *General*
 ** Define V2 Component
 ** Add to new clientlib
 ** Define new style consuming the listed tokens
 ** htl changes listed below:

 
h1. Technical Details

Reference structure for new DS components styles:

 
{code:java}
.cmp-button {
    // Enterprise OTB variables defined for base unbranded styling
    // ex. --background: #CCCCCC
}
.cmp-button {
    // component styles go here consuming token variables
    // ex. background: var(--background);
    
    .nested-prop {
        // ex. border-top: var(--border-top)
    }
} {code}
 

Brand Clientlibs Structure:
{code:java}
// Auto Generated from Design System
.cmp-component.theme {
    // Generated Brand Design System token variables
    // ex. --background: #7F175C;
}{code}
 

 ",,MURPHPX6,,,,,,,,,,,,,,,,,,,,,,,,ISAAP-442,,ISAAP-440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,[role],,,,,,,,,,,,,,,,,,,,,,ISAAP-400,,,,,,,,,,,[feature],None,,,,,,,,,,,,,N/A,,,,Non-GxP,,,"0|i2gq5g:",,,,,Functional,,,,,,,,,,,,,[demonstrable business value],,,,,,,,,,,,,,,,,,,,,,,No Team,,,,,,,,,,,,,,,,,,,,,
DS Component Integration - Table IVA,ISAAP-443,579677,,Story,Open,ISAAP,ISA Authoring Platform,software,MCFADMX,,,Medium,,,MURPHPX6,MURPHPX6,17/Oct/24 1:10 PM,05/Nov/24 4:40 PM,08/Feb/25 7:36 AM,,,,,,,0,DS-Component-Integration,,,,"h1. {color:#172b4d}Description{color}

 
h1. References
||Name||Link||
|Initiative|[ _{color:#ff8b00}insert Initiative Link{color}_ ]|
|Epic|[ ISAAP-400 ]|
h1. Acceptance Criteria
 * *General*
 ** Define V2 Component
 ** Add to new clientlib
 ** Define new style consuming the listed tokens
 ** htl changes listed below:

 
h1. Technical Details

Reference structure for new DS components styles:

 
{code:java}
.cmp-button {
    // Enterprise OTB variables defined for base unbranded styling
    // ex. --background: #CCCCCC
}
.cmp-button {
    // component styles go here consuming token variables
    // ex. background: var(--background);
    
    .nested-prop {
        // ex. border-top: var(--border-top)
    }
} {code}
 

Brand Clientlibs Structure:
{code:java}
// Auto Generated from Design System
.cmp-component.theme {
    // Generated Brand Design System token variables
    // ex. --background: #7F175C;
}{code}
 

 ",,MURPHPX6,,,,,,,,,,,,,,,,,,,,,,,,ISAAP-444,,ISAAP-442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,[role],,,,,,,,,,,,,,,,,,,,,,ISAAP-400,,,,,,,,,,,[feature],None,,,,,,,,,,,,,N/A,,,,Non-GxP,,,"0|i2gq64:",,,,,Functional,,,,,,,,,,,,,[demonstrable business value],,,,,,,,,,,,,,,,,,,,,,,No Team,,,,,,,,,,,,,,,,,,,,,
DS Component Integration - IVA Text,ISAAP-440,579674,,Story,Open,ISAAP,ISA Authoring Platform,software,MCFADMX,,,Medium,,,MURPHPX6,MURPHPX6,17/Oct/24 1:08 PM,05/Nov/24 4:36 PM,08/Feb/25 7:36 AM,,,,,,,0,DS-Component-Integration,,,,"h1. {color:#172b4d}Description{color}

 
h1. References
||Name||Link||
|Initiative|[ _{color:#ff8b00}insert Initiative Link{color}_ ]|
|Epic|[ ISAAP-400 ]|
h1. Acceptance Criteria
 * *General*
 ** Define V2 Component
 ** Add to new clientlib
 ** Define new style consuming the listed tokens
 ** htl changes listed below:

 
h1. Technical Details

Reference structure for new DS components styles:

 
{code:java}
.cmp-button {
    // Enterprise OTB variables defined for base unbranded styling
    // ex. --background: #CCCCCC
}
.cmp-button {
    // component styles go here consuming token variables
    // ex. background: var(--background);
    
    .nested-prop {
        // ex. border-top: var(--border-top)
    }
} {code}
 

Brand Clientlibs Structure:
{code:java}
// Auto Generated from Design System
.cmp-component.theme {
    // Generated Brand Design System token variables
    // ex. --background: #7F175C;
}{code}
 

 ",,MURPHPX6,,,,,,,,,,,,,,,,,,,,,,,,ISAAP-441,,ISAAP-439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,[role],,,,,,,,,,,,,,,,,,,,,,ISAAP-400,,,,,,,,,,,[feature],None,,,,,,,,,,,,,N/A,,,,Non-GxP,,,"0|i2gq58:",,,,,Functional,,,,,,,,,,,,,[demonstrable business value],,,,,,,,,,,,,,,,,,,,,,,No Team,,,,,,,,,,,,,,,,,,,,,
XpConnect OOTB calls in IVY sites,ISAAP-454,591050,,Bug,Open,ISAAP,ISA Authoring Platform,software,MCFADMX,,,Medium,,,NAGUBNX1,NAGUBNX1,05/Nov/24 12:41 PM,05/Nov/24 12:44 PM,08/Feb/25 7:36 AM,,,,,,,0,,,,,"Dashbord page list call - /bin/XpConnect/dashboardList.dashboard-pages?{}&_=1730828735823 is triggered on all sites/psges including IVY in author instance.

As per Chinmay this is because Xpconnect overwrite sOOTB clientlib call for Assets dropdown on page.

 ",,NAGUBNX1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05/Nov/24 12:44 PM;NAGUBNX1;screenshot-1.png;https://btsjira.abbvie.com/secure/attachment/415344/screenshot-1.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,N/A,,,,,,,"0|i2iecc:",,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Team,,,,,,,,,,,,,,,,,,,,,
Enhnace Custom Presentation Component to accommodate Business Rules,ISAAP-161,506854,,Story,Open,ISAAP,ISA Authoring Platform,software,MCFADMX,,,Medium,,,SINGHSV,SINGHSV,13/Jun/24 8:28 AM,30/Oct/24 11:45 AM,08/Feb/25 7:36 AM,,,,,,,0,Business_feature,,,,,,MURPHPX6,SINGHSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"* Authors are able to define mandatory slide or slides relationship for any given slides
 * Authors must be able to define the order in which the mandatory slides are to be picked up
 * Rule definition once defined must be applicable for any Custom Presentations that is created ",,,,,an author,,,,,,,,,,,,,,,,,,,,,,ISAAP-163,,,,,,,,,,,define business rules for Custom Presentation,None,,,,,,,,,,,,,N/A,,,,Low,,,"0|i1mww5:zt104vz64zy4",,,,,Functional,,,,,,,,,,,,,"While Rep creates Custom Presentation, the defined Business Rules are adapted",,,,,,,,,,,,,,,,,,,,,,,No Team,,,,,,,,,,,,,,,,,,,,,
